buoyid,lat,long
41001,34.647,-72.622
41002,31.76,-74.84
41001,34.647,-72.622
41001,34.647,-72.622
41002,31.76,-74.84
41001,34.647,-72.622
41002,31.76,-74.84
41003,30.4,-80.1
41004,32.501,-79.099
41005,31.7,-79.7
41006,29.3,-77.4
41040,14.559,-53.073
41008,31.4,-80.868
41009,28.522,-80.188
41010,28.903,-78.464
41044,21.575,-58.625
41012,30.042,-80.534
41013,33.436,-77.743
41048,31.86,-69.59
41016,24.6,-76.5
41017,35.4,-75.1
41018,15,-75
41021,31.92,-80.85
41022,31.89,-80.86
41056,18.26,-65.457
41024,33.837,-78.484
41025,35.006,-75.402
41027,33.302,-78.137
41029,32.803,-79.624
41030,32.52,-79.34
41033,32.279,-80.41
41035,34.476,-77.28
41036,34.207,-76.949
41037,33.989,-77.361
41038,34.142,-77.719
41040,14.559,-53.073
41041,14.329,-46.082
41043,21.132,-64.856
41044,21.575,-58.625
41046,23.832,-68.417
41047,27.485,-71.479
41048,31.86,-69.59
41049,27.537,-62.945
41051,18.257,-65.004
41052,18.251,-64.763
41053,18.474,-66.099
41056,18.26,-65.457
,,
41060,14.754,-50.949
41061,24.581,-38
,,
41096,16.533,-61.404
41064,34.207,-76.949
41108,33.721,-78.015
41109,34.484,-77.3
41110,34.141,-77.717
41112,30.709,-81.292
41113,28.4,-80.533
41114,27.551,-80.219
41115,18.376,-67.28
41140,17.769,-64.723
41141,17.684,-64.635
41159,34.21,-76.948
41193,12.351,-72.218
41194,11.161,-74.681
,,
,,
42001,25.897,-89.668
42002,26.091,-93.758
42003,26.007,-85.648
42004,27.5,-85.5
42005,30,-85.9
42006,26.5,-96
42007,30.09,-88.769
42008,28.7,-95.3
42009,29.3,-87.5
42010,29.7,-93.4
42011,29.7,-93.5
42012,30.064,-87.551
42013,27.173,-82.924
42014,25.254,-82.22
42015,30.1,-88.2
42016,30.2,-88.1
42050,28.842,-94.241
42051,29.635,-93.642
42019,27.907,-95.352
42020,26.968,-96.694
42021,28.311,-83.306
42022,27.504,-83.741
42023,26.01,-83.086
42025,24.9,-80.4
42035,29.232,-94.413
42036,28.501,-84.516
42037,24.5,-81.4
42038,27.421,-92.555
42039,28.788,-86.008
42040,29.208,-88.226
42041,27.504,-90.462
,,
42043,28.982,-94.899
42044,26.191,-97.051
42045,26.217,-96.5
42046,27.89,-94.037
42047,27.896,-93.597
,,
42054,26,-87.73
42055,22.12,-93.96
42056,19.918,-84.938
42057,16.908,-81.422
42058,14.892,-74.573
42059,15.252,-67.51
42060,16.406,-63.188
42065,14.926,-75.046
42067,30.042,-88.647
42080,24.396,-81.934
42085,17.86,-66.524
,,
,,
42089,19.699,-80.061
,,
,,
42098,27.589,-82.931
42099,27.341,-84.272
42360,26.672,-90.471
42361,27.55,-92.49
42362,27.795,-90.648
42363,28.16,-89.22
42364,29.06,-88.09
42365,28.2,-89.12
42369,27.207,-90.283
42370,27.322,-90.536
42374,28.866,-88.056
42375,28.521,-88.289
42376,29.108,-87.944
42390,26.129,-94.898
42392,27.196,-90.027
42394,28.16,-89.24
42395,26.404,-90.792
42887,28.191,-88.496
42935,28.235,-88.995
,,
,,
42OTP,30.073,-88.75
,,
44001,38.7,-73.6
44004,38.484,-70.433
44005,43.201,-69.128
44006,36.3,-75.4
44007,43.525,-70.141
44008,40.504,-69.248
44009,38.461,-74.703
44010,36.9,-75.7
44011,41.098,-66.619
44012,38.8,-74.6
44013,42.346,-70.651
44014,36.611,-74.842
44015,37.5,-73.4
44017,40.694,-72.048
44018,42.119,-69.7
44019,36.4,-75.2
44020,41.439,-70.186
44021,43.762,-69.988
44022,40.883,-73.728
44056,36.2,-75.714
44024,42.327,-65.912
44025,40.251,-73.164
44059,36.846,-76.298
44027,44.287,-67.307
44028,41.4,-71.08
44029,42.523,-70.566
44030,43.181,-70.428
44031,43.57,-70.06
44032,43.716,-69.355
44033,44.055,-68.998
44034,44.106,-68.109
44035,44.89,-67.02
44037,43.491,-67.879
44038,43.633,-66.55
44039,41.138,-72.655
44040,40.956,-73.58
44041,37.204,-76.778
44042,38.033,-76.335
44043,39.152,-76.391
,,
44052,37.236,-76.399
44053,37.244,-76.5
44054,38.883,-75.183
44055,39.122,-75.256
44056,36.2,-75.714
44057,39.54,-76.074
44058,37.567,-76.257
44059,36.846,-76.298
44060,41.263,-72.067
44061,38.788,-77.036
44062,38.556,-76.415
44063,38.963,-76.448
44064,36.998,-76.087
44065,40.369,-73.703
44066,39.568,-72.586
44067,38.368,-76.996
44068,37.314,-77.191
,,
44070,41.392,-71.004
,,
,,
,,
44091,39.778,-73.769
,,
44093,36.872,-75.492
44094,40.585,-73.106
44095,35.75,-75.33
44096,37.023,-75.81
44097,40.969,-71.127
44098,42.798,-70.168
44099,36.915,-75.72
44100,36.259,-75.592
44172,44.5,-63.408
,,
45001,48.061,-87.793
45002,45.344,-86.411
45003,45.351,-82.84
45004,47.585,-86.585
45005,41.677,-82.398
45006,47.335,-89.793
45007,42.674,-87.026
45008,44.283,-82.416
,,
45010,43,-87.8
,,
45012,43.621,-77.406
45013,43.1,-87.85
45014,44.8,-87.76
45015,41.714,-87.527
45016,41.783,-87.573
,,
45018,41.968,-87.637
,,
45020,44.789,-85.604
45022,45.403,-85.088
45023,47.27,-88.607
45024,43.977,-86.559
45025,46.969,-88.398
45026,41.983,-86.617
45027,46.86,-91.93
45028,46.81,-91.84
45029,42.9,-86.272
45161,43.179,-86.357
45162,44.987,-83.27
45163,43.986,-83.595
45164,41.732,-81.694
45165,41.702,-83.261
45166,45.032,-73.133
45167,42.186,-80.137
45168,42.397,-86.331
45169,41.615,-81.821
45170,41.755,-86.968
45171,46.724,-87.411
45172,46.742,-85.958
45173,46.573,-86.571
45174,42.135,-87.655
45175,45.825,-84.772
,,
,,
46001,56.304,-147.92
46002,44.3188,-126.3870
46003,51.831,-155.85
46004,50.93,-136.1
46005,45.958,-131
46006,40.782,-137.397
46007,59.2,-152.7
46008,57.1,-151.7
46009,60.2,-146.8
46010,46.2,-124.2
46011,34.956,-121.019
46012,37.363,-122.881
46013,38.238,-123.307
46014,39.235,-123.974
46015,42.764,-124.832
46016,63.283,-170.3
46017,60.283,-172.3
46018,60.283,-177
46019,57.2,-170.3
46020,55.883,-168
46021,57.7,-160
46022,40.72,-124.531
46023,34.714,-120.967
46024,33,-119.2
46025,33.749,-119.053
46026,37.755,-122.839
46027,41.852,-124.382
46028,35.712,-121.858
46029,46.159,-124.514
46030,40.423,-124.525
46031,55.5,-161.683
46032,54.2,-165.8
46033,55.783,-159.8
46034,55.1,-163.1
46035,57.026,-177.738
46036,48.35,-133.94
46037,48.3,-133.8
46038,41.9,-124.4
46039,48.2,-123.4
46040,44.8,-124.3
46041,47.35,-124.704
46042,36.791,-122.452
46076,59.502,-147.99
46044,36.7,-122.378
46045,33.84,-118.45
46047,32.398,-119.498
46048,32.9,-117.9
46050,44.677,-124.515
46051,34.48,-120.69
46053,34.252,-119.853
46054,34.265,-120.477
46059,38.05,-129.898
46060,60.584,-146.805
46061,60.227,-146.834
46062,35.101,-121.01
46063,34.273,-120.699
46066,52.785,-155.047
46069,33.674,-120.212
46070,55.082,175.153
46071,51.125,179.012
46072,51.656,-172.058
46073,55.031,-172.001
46107,59.925,-147.992
46075,53.983,-160.817
46076,59.502,-147.99
46077,57.892,-154.291
46078,55.542,-152.628
46079,59.05,-152.23
46080,57.939,-149.96
46081,60.799,-148.263
46082,59.668,-143.392
46083,58.3,-137.997
46084,56.6,-136.101
46085,55.868,-142.492
46086,32.491,-118.035
46087,48.494,-124.728
46088,48.334,-123.165
46089,45.893,-125.819
46091,36.835,-121.899
46092,36.75,-122.03
46093,36.69,-122.41
46094,44.642,-124.3
46096,46.173,-124.127
,,
46131,49.91,-124.99
46132,49.74,-127.93
,,
46105,59.049,-152.233
46106,59.76,-152.09
46107,59.925,-147.992
46108,59.597,-151.829
46109,48.123,-123.395
46110,48.115,-123.032
46111,48.131,-122.748
46112,48.1,-122.73
46113,47.73,-122.646
46114,36.723,-122.351
,,
,,
,,
,,
,,
,,
,,
46126,53.951,-166.602
,,
,,
46139,48.844,-126.01
46211,46.858,-124.244
46212,40.753,-124.313
46213,40.288,-124.719
46214,37.948,-123.468
46215,35.204,-120.859
46216,34.333,-119.803
46217,34.167,-119.435
46218,34.454,-120.782
46219,33.221,-119.881
46253,33.577,-118.182
46221,33.854,-118.633
46222,33.618,-118.317
46223,33.458,-117.767
46224,33.179,-117.471
46225,32.933,-117.391
46226,32.848,-117.353
46260,43.585,-124.29
46228,34.317,-119.417
46229,43.766,-124.551
46230,33.623,-118.012
46231,32.747,-117.37
46232,32.53,-117.421
46233,32.936,-117.32
46234,34.1,-119.168
46235,32.572,-117.167
46236,36.76,-121.949
46237,37.786,-122.634
46238,33.76,-119.55
46239,36.341,-122.102
46240,36.626,-121.907
46241,33.003,-117.292
46242,33.22,-117.439
46243,46.216,-124.127
46244,40.888,-124.357
46245,34.251,-119.308
46246,50.033,-145.2
46247,37.753,-122.833
46248,46.134,-124.64
46249,33.821,-119.708
,,
46251,33.76,-119.55
46252,33.953,-119.257
46253,33.577,-118.182
46254,32.868,-117.267
46255,33.4,-119.651
46256,33.7,-118.201
46257,34.439,-120.766
,,
,,
,,
,,
,,
48011,67.582,-164.185
48012,70.025,-166.071
48114,65.011,-169.454
48211,70.37,-146.04
48212,70.874,-150.279
48213,71.502,-164.133
48214,70.872,-165.248
,,
,,
51000,23.538,-153.808
51001,24.417,-162.1
51002,17.037,-157.696
51003,19.289,-160.569
51004,17.602,-152.395
51005,20.4,-156.1
51026,21.35,-156.93
51027,20.4,-157.1
51028,0,-153.913
51100,23.558,-153.9
51101,24.318,-162.231
51200,21.096,-158.303
51201,21.671,-158.117
51202,21.415,-157.678
51203,20.788,-157.01
51204,21.281,-158.124
51205,21.018,-156.425
51206,19.78,-154.97
51207,21.477,-157.753
51208,22.285,-159.574
51209,-14.265,-170.494
,,
,,
,,
52009,13.729,-144.668
52200,13.354,144.788
52201,7.083,171.392
52202,13.682,144.811
52211,15.268,145.662
52212,7.63,134.667
91204,9.9,139.7
91222,18.13,145.77
91251,11.43,162.35
91328,8.6,149.67
91338,5.28,153.65
91343,7.63,155.16
91352,6.21,160.7
91355,5.36,162.96
91365,8.93,165.75
91374,8.7,171.2
91377,6.1,172.1
91411,8.3,137.5
91442,4.6,168.7
AAMC1,37.772,-122.3
ABAN6,44.333,-75.933
ACMN4,39.38,-74.42
ACYN4,39.357,-74.418
ADKA2,51.861,-176.637
AGCM4,42.621,-82.527
AGMW3,44.608,-87.433
AGXC1,33.716,-118.246
ALIA2,56.898,-154.247
ALRF1,24.9,-80.6
ALSN6,40.45,-73.8
ALXN6,44.331,-75.934
AMAA2,58.915,-151.952
AMRL1,29.45,-91.338
ANCF1,28.193,-82.789
ANMF1,27.538,-82.739
ANTA2,61.238,-149.89
ANVC1,38.915,-123.711
APAM2,38.983,-76.479
APCF1,29.724,-84.98
APNM4,45.06,-83.424
APRP7,13.444,144.657
AROP4,18.48,-66.702
ARPF1,28.433,-82.667
ASTO3,46.207,-123.768
ATGM1,44.392,-68.204
ATKA2,52.232,-174.173
AUDP4,18.457,-67.165
AUGA2,59.378,-153.348
AVAN4,39.09,-74.72
AWRT2,28.227,-96.796
BABT2,27.297,-97.405
BARA9,17.591,-61.821
BARN6,42.345,-79.595
BATN6,40.701,-74.014
BAXC1,33.766,-118.24
BDRN4,40.082,-74.87
BDSP1,39.98,-75.079
BDVF1,25.478,-80.989
BDXC1,38.317,-123.071
BEPB6,32.374,-64.701
BFTN7,34.717,-76.671
BGCF1,26.404,-81.881
BGNN4,40.639,-74.146
BHBM3,42.355,-71.05
BHRC3,41.175,-73.185
BHRI3,41.646,-87.147
BIGM4,46.827,-87.727
BISM2,38.22,-76.039
BKBF1,30.192,-81.692
BKTL1,30.19,-93.301
BKYF1,25.119,-80.834
BLIA2,60.839,-146.884
BLIF1,30.393,-81.523
BLTA2,58.455,-135.889
BLTM2,39.267,-76.579
BLTM3,41.704,-71.174
BNKF1,25.087,-80.519
BOBF1,25.027,-80.681
BRBN4,39.61,-74.2
BRHC3,41.174,-73.181
BRND1,38.987,-75.113
BSBM4,44.055,-86.514
BSCA1,30.329,-87.829
BTHD1,38.537,-75.046
BUFN6,42.878,-78.89
BURL1,28.905,-89.428
BUSL1,27.883,-90.9
BUZM3,41.397,-71.033
BWSF1,25.178,-80.438
BYGL1,29.789,-90.42
BZBM3,41.524,-70.671
C58W3,44.146,-87.563
CAMF1,27.765,-82.649
CAMM2,38.574,-76.069
CANF1,25.422,-80.942
CAPL1,29.768,-93.343
CARL1,29.933,-90.135
CARO3,43.342,-124.375
CASM1,43.656,-70.246
CBBV2,36.967,-76.114
CBIM2,38.317,-76.451
CBLO1,41.981,-80.556
CBRW3,45.198,-87.36
CCUF1,27.663,-82.618
CDEA2,56.001,-134.136
CDRF1,29.136,-83.029
CECC1,41.746,-124.184
CFWM1,44.657,-67.205
CGCL1,28.791,-89.056
CHAO3,43.351,-124.337
CHAV3,18.335,-64.92
CHCM2,39.527,-75.81
CHDS1,33.661,-82.199
CHII2,41.916,-87.572
CHLV2,36.905,-75.713
CHSV3,17.748,-64.699
CHTS1,32.781,-79.924
CHYV2,36.926,-76.007
CHYW1,48.863,-122.759
CLBP4,18.301,-65.302
CLKN7,34.622,-76.525
CLLT2,29.563,-95.067
CLSM4,42.471,-82.877
CMAN4,38.968,-74.96
CMTI2,41.73,-87.538
CNBF1,25.702,-81.186
CNDO1,41.542,-81.637
CNII2,41.856,-87.609
COVM2,38.402,-76.385
CPMW1,48.86,-122.756
CPNT2,28.114,-97.024
CPTR1,41.717,-71.345
CPVM2,38.995,-76.388
CPXC1,35.17,-120.741
CQUC1,38.066,-122.23
CRTA1,30.308,-88.14
CRVA2,60.558,-145.752
CRYV2,36.888,-76.338
CSBF1,29.672,-85.357
CSPA2,58.199,-136.64
CTGM1,44.642,-67.297
CWAF1,25.297,-81.013
CWBF1,27.978,-82.832
CYGM4,45.658,-84.464
DBLN6,42.494,-79.354
DELD1,39.582,-75.589
DESW1,47.675,-124.485
DISW3,47.079,-90.728
DKCM6,30.356,-88.567
DKKF1,25.18,-80.49
DMNO3,46.226,-123.955
DMSF1,30.387,-81.559
DOMV2,36.962,-76.424
DPIA1,30.25,-88.075
DPXC1,38.056,-122.264
DRFA2,60.553,-152.137
DRYF1,24.638,-82.862
DSLN7,35.153,-75.297
DTLM4,45.993,-83.898
DUCN7,36.184,-75.745
DUKN7,36.184,-75.746
DULM5,46.776,-92.092
EB01,36.5,-73.5
EB10,27.5,-88
EB31,27,-86
EB32,27,-84.3
EB33,58.5,-141
EB35,55.3,-157
EB36,26,-84.8
EB43,59.8,-142
EB52,38.4,-74.3
EB53,28.9,-88.3
EB61,26.9,-84.6
EB62,29,-85.6
EB70,59.5,-142.3
EB90,47,-130.9
EB91,38.4,-74.3
EB92,28.5,-90
EBSW1,47.602,-122.338
EGKF1,27.601,-82.759
EINL1,29.373,-91.384
ELFA2,58.193,-136.347
EPTT2,29.481,-94.917
EREP1,42.172,-80.098
EROA2,58.971,-135.221
ERTF1,27.92,-82.442
ESPP4,18.094,-65.471
FAIO1,41.764,-81.281
FARP2,8.583,144.583
FBIS1,32.685,-79.888
FBPS1,32.652,-79.938
FCGT2,28.943,-95.302
FFIA2,57.272,-133.63
FGBL1,28.118,-93.67
FHPF1,28.153,-82.801
FILA2,59.332,-151.995
FMOA1,30.228,-88.024
FMRF1,26.647,-81.871
FOXR1,41.807,-71.401
FPKG1,32.035,-80.903
FPSN7,33.485,-77.59
FPTM4,45.619,-86.66
FPTT2,28.948,-95.308
FPXC1,37.807,-122.466
FRCB6,32.37,-64.695
FRDF1,30.675,-81.465
FRDP4,18.335,-65.631
FRDW1,48.545,-123.012
FREL1,30.106,-90.422
FRFN7,36.189,-75.739
FRPS1,32.34,-80.46
FRVM3,41.704,-71.164
FRWL1,29.552,-92.305
FRXM3,41.696,-71.18
FSKM2,39.219,-76.528
FSNM2,39.219,-76.525
FSTI2,41.976,-87.648
FTGM4,43.007,-82.422
FTPC1,37.806,-122.466
FWIC3,41.15,-73.172
FWYF1,25.591,-80.097
GBCL1,27.8,-93.1
GBIF1,25.378,-81.029
GBLW3,44.653,-87.901
GBTF1,25.167,-80.801
