id,name,tagIdNumber,species,gender,stageOfLife,length,weight,tagDate,tagLocation,description,active,id,datetime,latitude,longitude
3,Oprah,117480,White Shark (Carcharodon carcharias),Female,Immature,9ft 10in (3 meters),686 lbs.,7 March 2012,Mossel Bay,"Oprah was named by expedition leader Chris Fischer. Fischer named her after Oprah Winfrey, one of America's great philanthropists who has done much with education in Africa",1,36902,6 July 2014 1:57:28 PM,-34.60661,21.15244
4,Albertina,117470,White Shark (Carcharodon carcharias),Female,Immature,11 ft. 6 in. (3.5 Meters),1110 lbs.,8 March 2012,Mossel Bay,,1,36771,27 June 2014 7:33:40 AM,-34.23627,22.3721
5,Helen,117468,White Shark (Carcharodon carcharias),Female,Immature,10 ft. 2 in. (3.1 meters),765 lbs.,8 March 2012,Mossel Bay,,1,58165,5 January 2017 2:22:39 PM,-34.0766,22.20604
6,Brenda,117472,White Shark (Carcharodon carcharias),Female,Immature,12 ft. 2 in. (3.7 meters),1310 lbs.,8 March 2012,Mossel Bay,"After her travels in South Africa near places such as Dyer Island, Quoin Rock Island, Duiwenhoksriviermond Private Nature Reserve, Brenda traveled north along the coast up to Mozambique. Tragically in October of 2012, she was captured in a gill net and killed. To read the press release please copy and paste the following link into your browser: http://bit.ly/VlFfu8",1,12177,19 October 2012 6:16:44 AM,-24.78078,34.6268
7,Madiba,117482,White Shark (Carcharodon carcharias),Male,Immature,9ft 8 in (2.9 meters),659 lbs.,8 March 2012,Mossel Bay,"Chrsi Fischer named Madiba after Nelson Mandela. Madiba was caught and killed on a drumline at Sunwich Port on the KwaZulu-Natal South Coast in January, 2013.",1,11866,10 October 2012 12:02:00 AM,-34.3451,24.32529
8,Maya,117478,White Shark (Carcharodon carcharias),Female,Immature,7ft 6in (2.9 meters),195 lbs.,10 March 2012,Mossel Bay,Enrico named Maya after his daughter.,1,8852,15 August 2012 1:55:20 AM,-34.16488,23.1781
9,Louise,117464,White Shark (Carcharodon carcharias),Female,Immature,11 ft. 6 in. (3.5 meters),745 lbs.,10 March 2012,Mossel Bay,,1,42937,6 March 2015 2:16:11 PM,-23.23008,80.16272
10,Dorien,117473,White Shark (Carcharodon carcharias),Female,Immature,9 ft. 9 in. (3 meters),775 lbs.,21 March 2012,Mossel Bay,,1,1422,12 June 2012 6:21:58 AM,-34.54987,19.2782
11,Jill,117483,White Shark (Carcharodon carcharias),Female,Immature,9 ft. 7 in. (2.9 meters),639 lbs.,21 March 2012,Mossel Bay,,1,18217,26 April 2013 1:01:44 PM,-34.58884,20.41706
12,Princess Fi,117477,White Shark (Carcharodon carcharias),Female,Immature,8ft 3in (2.5 meters),319 lbs.,21 March 2012,Mossel Bay,Ryan Johnson named Princess Fi after his wife.,1,12476,2 November 2012 10:44:19 AM,-34.1574,22.14008
13,Sofia,117475,White Shark (Carcharodon carcharias),Female,Immature,8ft 6in (2.6 meters),344 lbs.,21 March 2012,Mossel Bay,Captain Brett McBride named Sofia after his daughter.,1,6904,8 May 2012 10:27:42 AM,-33.628,27.368
